# i,E[eV]
1,-4.93907913e+00
2,-4.64221922e+00
3,-4.34177265e+00
4,-4.03663265e+00
5,-3.73309641e+00
6,-3.42629621e+00
7,-3.12060426e+00
8,-2.81600065e+00
9,-2.50877662e+00
10,-2.20171019e+00
11,-1.89353246e+00
12,-1.58662426e+00
13,-1.28019238e+00
14,-9.72122530e-01
15,-6.65275354e-01
16,-3.59729395e-01
17,-5.10248433e-02
18,2.46914873e-01
19,5.53270764e-01
20,8.62129181e-01
21,1.16732430e+00
22,1.47409234e+00
23,1.78252458e+00
24,2.08788928e+00
25,2.39166847e+00
26,2.70048642e+00
27,2.99770442e+00
